"","year","area","street_1","street_2"
"126",2011,"Birmingham","Meadwaym  Stechford","Meadwaym Stechford"
"127",2011,"Birmingham","Mickleover  Road,  Bromford","Mickleover Road, Bromford"
"128",2011,"Birmingham","moorcroft  road","moorcroft road"
"129",2011,"Birmingham","Moseley  Road","Moseley Road"
"130",2011,"Birmingham","moseley  road","moseley road"
"131",2011,"Birmingham","moseley  road",""
"132",2011,"Birmingham","moseley  road",""
"133",2011,"Birmingham","Moseley  Village","Moseley Village"
"134",2011,"Birmingham","Moseley  Village",""
"135",2011,"Birmingham","Moseley  Village,  Alcester  road","Moseley Village, Alcester road"
"136",2011,"Birmingham","Mosley  All  Services  Club,  Church  Road,  Moseley.","Mosley All Services Club, Church Road, Moseley."
"137",2011,"Birmingham","Nearlands  Close  Quinton","Nearlands Close Quinton"
"138",2011,"Birmingham","New  str.","New str."
"139",2011,"Birmingham","Northfield  High  str.","Northfield High str."
"140",2011,"Birmingham","O/S  BEHANS,  HIGHFIELD  ROAD,  BILLESLEY","O/S BEHANS, HIGHFIELD ROAD, BILLESLEY"
"141",2011,"Birmingham","O/S  The  junction,  Mosley  Village","O/S The junction, Mosley Village"
"142",2011,"Birmingham","O/S  Washwood  Heath  road","O/S Washwood Heath road"
"143",2011,"Birmingham","Oakhill  Road,  Acocks  Green","Oakhill Road, Acocks Green"
"144",2011,"Birmingham","Opp  white  hart  lane  cooks  lane","Opp white hart lane cooks lane"
"145",2011,"Birmingham","Opposite,  ALDI,  Stratford  Road","Opposite, ALDI, Stratford Road"
"146",2011,"Birmingham","Outside  Java  lounge  Alcester  Road","Outside Java lounge Alcester Road"
"147",2011,"Birmingham","Outside  O2  Academy  Night  Club  B'ham  City  Centre","Outside O2 Academy Night Club B'ham City Centre"
"148",2011,"Birmingham","outside  raven  public  house","outside raven public house"
"149",2011,"Birmingham","Packington  ave.,  Shard  End","Packington ave., Shard End"
"150",2011,"Birmingham","park  off  hob  moor  road","park off hob moor road"
"151",2011,"Birmingham","Parkhall  Croft","Parkhall Croft"
"152",2011,"Birmingham","Pear  Tree  PH","Pear Tree PH"
"153",2011,"Birmingham","Police  station","Police station"
"154",2011,"Birmingham","Police  Station  Stechford","Police Station Stechford"
"155",2011,"Birmingham","poplar  road","poplar road"
"156",2011,"Birmingham","Poplar  road","Poplar road"
"157",2011,"Birmingham","poplar  road  ,  solihull","poplar road , solihull"
"158",2011,"Birmingham","poplar  road,  solihull","poplar road, solihull"
"159",2011,"Birmingham","Preston  Road","Preston Road"
"160",2011,"Birmingham","Priory  Road,  Hall  Green","Priory Road, Hall Green"
"161",2011,"Birmingham","prospect  road","prospect road"
"162",2011,"Birmingham","queenswood  road","queenswood road"
"163",2011,"Birmingham","Rear  of  boots,  high  str.","Rear of boots, high str."
"164",2011,"Birmingham","REDDINGS  LANE,  TSYLEY","REDDINGS LANE, TSYLEY"
"165",2011,"Birmingham","Richmond  Primary  Care  Centre,  Richmond  Road,  Stechford","Richmond Primary Care Centre, Richmond Road, Stechford"
"166",2011,"Birmingham","ring  road,  stourbridge","ring road, stourbridge"
"167",2011,"Birmingham","sainsburys,  wawrick  road","sainsburys, wawrick road"
"168",2011,"Birmingham","sainsburys.  alcester  road  south","sainsburys. alcester road south"
"169",2011,"Birmingham","Sandford  Road  Moseley","Sandford Road Moseley"
"170",2011,"Birmingham","Sarehole  Mill","Sarehole Mill"
"171",2011,"Birmingham","Sedgemere  Road","Sedgemere Road"
"172",2011,"Birmingham","Shirley  Road","Shirley Road"
"173",2011,"Birmingham","SHirley  Road","SHirley Road"
"174",2011,"Birmingham","Snow  Hill","Snow Hill"
"175",2011,"Birmingham","Solihull  Lane","Solihull Lane"
"176",2011,"Birmingham","St  Mary's  Road,  Moseley","St Mary's Road, Moseley"
"177",2011,"Birmingham","St  Marys  Row","St Marys Row"
"178",2011,"Birmingham","station  road","station road"
"179",2011,"Birmingham","Station  Way,  Birmingham  International  rail  Station","Station Way, Birmingham International rail Station"
"180",2011,"Birmingham","Stechford  front  office","Stechford front office"
"181",2011,"Birmingham","Stechford  P.S.","Stechford P.S."
"182",2011,"Birmingham","Stechford  Retail  Park.","Stechford Retail Park."
"183",2011,"Birmingham","Stonehenge  croft  Druids  heath","Stonehenge croft Druids heath"
"184",2011,"Birmingham","Stoney  Lane","Stoney Lane"
"185",2011,"Birmingham","Stoney  Lane",""
"186",2011,"Birmingham","stoney  lane","stoney lane"
"187",2011,"Birmingham","STRATFORD  HEATH,  SPARK  HILL,  BIRMINGHAM","STRATFORD HEATH, SPARK HILL, BIRMINGHAM"
"188",2011,"Birmingham","Stratford  road","Stratford road"
"189",2011,"Birmingham","Stratford  road",""
"190",2011,"Birmingham","Stratford  Road","Stratford Road"
"191",2011,"Birmingham","Stratford  road,  hall  green","Stratford road, hall green"
"192",2011,"Birmingham","Stratford  roads","Stratford roads"
"193",2011,"Birmingham","Stuart  Road,  Stechford","Stuart Road, Stechford"
"194",2011,"Birmingham","Talbort  str.","Talbort str."
"195",2011,"Birmingham","Taunton  Road","Taunton Road"
"196",2011,"Birmingham","Tavistock  road","Tavistock road"
"197",2011,"Birmingham","The  ave.","The ave."
"198",2011,"Birmingham","The  paer  tree  pub","The paer tree pub"
"199",2011,"Birmingham","Trafalger  Road","Trafalger Road"
"200",2011,"Birmingham","Wake  green  Road","Wake green Road"
"201",2011,"Birmingham","Ward  End  Road","Ward End Road"
"202",2011,"Birmingham","Warwick  Road","Warwick Road"
"203",2011,"Birmingham","Warwick  Road",""
"204",2011,"Birmingham","Warwick  Road",""
"205",2011,"Birmingham","Warwick  Road",""
"206",2011,"Birmingham","Warwick  Road",""
"207",2011,"Birmingham","Warwick  Road  Tysley","Warwick Road Tysley"
"208",2011,"Birmingham","Wash  lane","Wash lane"
"209",2011,"Birmingham","Washford  Heath  Road","Washford Heath Road"
"210",2011,"Birmingham","Washwood  Heath  pub","Washwood Heath pub"
"211",2011,"Birmingham","WASHWOOD  HEATH  RD,  WASHWOOD  HEATH,  BHAM","WASHWOOD HEATH RD, WASHWOOD HEATH, BHAM"
"212",2011,"Birmingham","Washwood  Heath  road","Washwood Heath road"
"213",2011,"Birmingham","Washwood  Heath  Road","Washwood Heath Road"
"214",2011,"Birmingham","Washwood  Heath  Road",""
"215",2011,"Birmingham","Washwood  Heath  Road",""
"216",2011,"Birmingham","Watery  Lane  Middleway,  Birmingham","Watery Lane Middleway, Birmingham"
"217",2011,"Birmingham","wawrick  road","wawrick road"
"218",2011,"Birmingham","Welshfarm  Road,  Quinton","Welshfarm Road, Quinton"
"219",2011,"Birmingham","Westley  Road","Westley Road"
"220",2011,"Birmingham","Westley  Road,  Acocks  Green","Westley Road, Acocks Green"
"221",2011,"Birmingham","White  Hart  Public  House","White Hart Public House"
"222",2011,"Birmingham","White  Hart  Public  House",""
"223",2011,"Birmingham","Whiteheart  pub,  Gressell  Lane","Whiteheart pub, Gressell Lane"
"224",2011,"Birmingham","William  Hill  Bookmakers,  Washwood  Heath  Road","William Hill Bookmakers, Washwood Heath Road"
"225",2011,"Birmingham","William  Hill  Bookmakers,  Washwood  Heath  Road",""
"226",2011,"Birmingham","William  Hill  Washwood  Heath  Road","William Hill Washwood Heath Road"
"227",2011,"Birmingham","Windward  Road","Windward Road"
"228",2011,"Birmingham","Windward  Road",""
"229",2011,"Birmingham","Wood  End  Road,  Erdington","Wood End Road, Erdington"
"230",2011,"Birmingham","Woodbridge  road,  moseley","Woodbridge road, moseley"
"231",2011,"Birmingham","Wright  str.","Wright str."
"232",2011,"Birmingham","yardley  green  road","yardley green road"
"233",2011,"Birmingham","yardley  road  acocks  green","yardley road acocks green"
"234",2011,"Birmingham","Yardley  Wood  Road","Yardley Wood Road"
"235",2011,"Birmingham","Yardley  Wood  Road",""
"236",2011,"Birmingham","Yew  Tree  car  park","Yew Tree car park"
"237",2011,"Birmingham","Yew  Tree  Lane","Yew Tree Lane"
"238",2011,"Birmingham","Yew  Tree  public  house  car  park.","Yew Tree public house car park."
"239",2011,"Birmingham","Armada  Pub,  Slade  Road,  Erdington,  Birmingham","Armada Pub, Slade Road, Erdington, Birmingham"
"240",2011,"Birmingham","Armarda  Pub,    Gravelly  Hill","Armarda Pub,  Gravelly Hill"
"241",2011,"Birmingham","Armarda  Pub,  Gravelly  Hill","Armarda Pub, Gravelly Hill"
"242",2011,"Birmingham","BADGERS  BANK  ROAD","BADGERS BANK ROAD"
"243",2011,"Birmingham","Baldmoor  Lake  Road,  Erdington,  Birmingham.","Baldmoor Lake Road, Erdington, Birmingham."
"244",2011,"Birmingham","bandywood  Rd,  kingstanding","bandywood Rd, kingstanding"
"245",2011,"Birmingham","Beckenham  Road","Beckenham Road"
"246",2011,"Birmingham","Beeches  Walk","Beeches Walk"
"247",2011,"Birmingham","BIRMINGHAM  RD","BIRMINGHAM RD"
"248",2011,"Birmingham","BIRMINGHAM  RD",""
"249",2011,"Birmingham","Birmingham  Rd,  SC","Birmingham Rd, SC"
"250",2011,"Birmingham","Birmingham  Road","Birmingham Road"
"251",2011,"Birmingham","Birmingham  Road",""
"252",2011,"Birmingham","birmingham  road  sutton","birmingham road sutton"
"253",2011,"Birmingham","Birmingham  Road,  Erdington","Birmingham Road, Erdington"
"254",2011,"Birmingham","Birmingham  Road,  Sutton  Coldfield","Birmingham Road, Sutton Coldfield"
"255",2011,"Birmingham","Birmingham  Road,  Sutton  Coldfield",""
"256",2011,"Birmingham","BOWLING  GREEN  CLOSE","BOWLING GREEN CLOSE"
"257",2011,"Birmingham","Bracebridge  Road,  Erdington","Bracebridge Road, Erdington"
"258",2011,"Birmingham","brassington  ave.","brassington ave."
"259",2011,"Birmingham","Bromford  Lane","Bromford Lane"
"260",2011,"Birmingham","Bromford  Lane,  Erdington,  B'ham","Bromford Lane, Erdington, B'ham"
"261",2011,"Birmingham","Brookvale  park  Road","Brookvale park Road"
"262",2011,"Birmingham","Carhampton  Road,  Falcon  Lodge,  Sutton  Colfield","Carhampton Road, Falcon Lodge, Sutton Colfield"
"263",2011,"Birmingham","Carshalton  Road","Carshalton Road"
"264",2011,"Birmingham","carshorlton  Road","carshorlton Road"
"265",2011,"Birmingham","chester  rd","chester rd"
"266",2011,"Birmingham","CHESTER  ROAD","CHESTER ROAD"
"267",2011,"Birmingham","Chester  Road,  Halls  garden  Centre","Chester Road, Halls garden Centre"
"268",2011,"Birmingham","CHURCH  RD  AT  CHESTER  RD","CHURCH RD AT CHESTER RD"
